1,フシギダネ,くさ,S
2,フシギソウ,くさ,S
3,フシギバナ,くさ,C
4,ヒトカゲ,ほのお,S
5,リザード,ほのお,S
6,リザードン,ほのお,C
7,ゼニガメ,みず,C
8,カメール,みず,C
9,カメックス,みず,C
10,キャタピー,むし,C
11,トランセル,むし,S
12,バタフリー,むし,S
13,ビードル,むし,C
14,コクーン,むし,C
15,スピアー,むし,S
16,ポッポ,ひこう,C
17,ピジョン,ひこう,S
18,ピジョット,ひこう,S
19,コラッタ,ノーマル,C
20,ラッタ,ノーマル,S
21,オニスズメ,ひこう,C
22,オニドリル,ひこう,S
23,アーボ,どく,S
24,アーボック,どく,S
25,ピカチュウ,でんき,C
26,ライチュウ,でんき,C
27,サンド,じめん,C
28,サンドパン,じめん,C
29,ニドラン♀,どく,S
30,ニドリーナ,どく,C
31,ニドクイン,じめん,C
32,ニドラン♂,どく,S
33,ニドリーノ,どく,S
34,ニドキング,じめん,S
35,ピッピ,ノーマル,C
36,ピクシー,ノーマル,S
37,ロコン,ほのお,C
38,キュウコン,ほのお,C
39,プリン,ノーマル,C
40,プクリン,ノーマル,S
41,ズバット,ひこう,C
42,ゴルバット,ひこう,C
43,ナゾノクサ,くさ,S
44,クサイハナ,くさ,S
45,ラフレシア,くさ,C
46,パラス,くさ,C
47,パラセクト,くさ,C
48,コンパン,むし,C
49,モルフォン,むし,S
50,ディグダ,じめん,C
51,ダグトリオ,じめん,C
52,ニャース,ノーマル,S
53,ペルシアン,ノーマル,C
54,コダック,みず,S
55,ゴルダック,みず,S
56,マンキー,ノーマル,S
57,オコリザル,ノーマル,S
58,ガーディ,ほのお,S
59,ウインディ,ほのお,C
60,ニョロモ,みず,S
61,ニョロゾ,みず,S
62,ニョロボン,みず,C
63,ケーシィ,エスパー,C
64,ユンゲラー,エスパー,C
65,フーディン,エスパー,C
66,ワンリキー,ノーマル,C
67,ゴーリキー,ノーマル,C
68,カイリキー,ノーマル,S
69,マダツボミ,くさ,S
70,ウツドン,くさ,S
71,ウツボット,くさ,C
72,メノクラゲ,どく,C
73,ドククラゲ,どく,C
74,イシツブテ,じめん,S
75,ゴローン,じめん,S
76,ゴローニャ,じめん,S
77,ポニータ,ほのお,S
78,ギャロップ,ほのお,S
79,ヤドン,エスパー,S
80,ヤドラン,エスパー,S
81,コイル,でんき,S
82,レアコイル,でんき,S
83,カモネギ,ひこう,C
84,ドードー,ひこう,S
85,ドードリオ,ひこう,S
86,パウワウ,みず,S
87,ジュゴン,みず,S
88,ベトベター,どく,S
89,ベトベトン,どく,C
90,シェルダー,みず,C
91,パルシェン,みず,C
92,ゴース,どく,C
93,ゴースト,どく,C
94,ゲンガー,どく,C
95,イワーク,じめん,S
96,スリープ,エスパー,S
97,スリーパー,エスパー,C
98,クラブ,みず,S
99,キングラー,みず,S
100,ビリリダマ,でんき,S
101,マルマイン,でんき,C
102,タマタマ,エスパー,S
103,ナッシー,エスパー,S
104,カラカラ,じめん,C
105,ガラガラ,じめん,C
106,サワムラー,ノーマル,S
107,エビワラー,ノーマル,C
108,ベロリンガ,ノーマル,S
109,ドガース,どく,C
110,マタドガス,どく,C
111,サイホーン,じめん,S
112,サイドン,じめん,S
113,ラッキー,ノーマル,C
114,モンジャラ,くさ,S
115,ガルーラ,ノーマル,C
116,タッツー,みず,C
117,シードラ,みず,C
118,トサキント,みず,S
119,アズマオウ,みず,S
120,ヒトデマン,みず,C
121,スターミー,みず,C
122,バリヤード,エスパー,S
123,ストライク,むし,S
124,ルージュラ,エスパー,C
125,エレブー,でんき,S
126,ブーバー,ほのお,C
127,カイロス,むし,C
128,ケンタロス,ノーマル,S
129,コイキング,みず,S
130,ギャラドス,みず,S
131,ラプラス,みず,S
132,メタモン,ノーマル,C
133,イーブイ,ノーマル,C
134,シャワーズ,みず,C
135,サンダース,でんき,C
136,ブースター,ほのお,C
137,ポリゴン,ノーマル,S
138,オムナイト,みず,C
139,オムスター,みず,C
140,カブト,みず,C
141,カブトプス,みず,C
142,プテラ,ひこう,S
143,カビゴン,ノーマル,S
144,フリーザー,ひこう,S
145,サンダー,でんき,C
146,ファイヤー,ほのお,S
147,ミニリュウ,ノーマル,C
148,ハクリュー,ノーマル,C
149,カイリュー,ひこう,C
150,ミュウツー,エスパー,C
151,ミュウ,エスパー,C
